,g,repr_ATPases
2394,g__CSBr16-161,FH
2395,g__CSBr16-57R1,nothing
2396,g__CSBr16-58,FH
2397,g__CSP1-1,AH
2398,g__CSP1-2,FH
2399,g__CSP1-3,AH
2400,g__CSP1-4,FH
2401,g__CSP1-5,FH
2402,g__CSP1-6,FH
2403,g__CSP1-8,FH
2404,g__CSSED10-109M,nothing
2405,g__CSSED10-239,nothing
2406,g__CSSED10-269,nothing
2407,g__CSSED10-310,ANa
2408,g__CSSED10-335,ANa
2409,g__CSSED10-376,q F-
2410,g__CSSED10-83,ANa
2411,g__CSSED11-109,FNa
2412,g__CSSED11-154,FNa NNa
2413,g__CSSED11-181,FNa
2414,g__CSSED11-302,q FH
2415,g__CSSED11-315,FH
2416,g__CSSed10-48,ANa
2417,g__CSSed11-175R1,FH
2418,g__CSSed11-197,FH
2419,g__CSSed11-243R1,nothing
2420,g__CT4,FH ANa
2421,g__CU05-9,FH
2422,g__CUG-92003,FH
2423,g__CV81,FH
2424,g__CWB-1,FH ANa
2425,g__CYK-10,FH
2426,g__CYSP01,FH
2427,g__Caballeronia,FH
2428,g__Caecibacter,FH
2429,g__Caedibacter,nothing
2430,g__Caedimonas,FH
2431,g__Caenarcanum,FH
2432,g__Caenibacillus,FH
2433,g__Caenibius,FH
2434,g__Caenispirillum,FH
2435,g__Caldalkalibacillus,FH
2436,g__Caldanaerobacter,ANa
2437,g__Caldanaerobius,FH
2438,g__Caldanaerovirga,AH ANa
2439,g__Caldarchaeum,AH
2440,g__Caldatribacterium,FH ANa
2441,g__Calderihabitans,q FH
2442,g__Caldibacillus,FH
2443,g__Caldicellulosiruptor,FH
2444,g__Caldicoprobacter,FH ANa
2445,g__Caldilinea,FH
2446,g__Caldimicrobium,FH
2447,g__Caldimonas,FH
2448,g__Caldipriscus,AH
2449,g__Caldisalinibacter,FNa AH
2450,g__Caldisericum,ANa
2451,g__Caldisphaera,AH
2452,g__Calditerricola,FH
2453,g__Calditerrivibrio,FH
2454,g__Caldithrix,FH
2455,g__Caldivirga,AH
2456,g__Caldovatus,FH
2457,g__Calescibacterium,FH
2458,g__Calidifontibacillus,FH
2459,g__Calidithermus,AH
2460,g__Caloramator,FH AH ANa
2461,g__Caloramator_A,FH AH ANa
2462,g__Caloramator_B,AH ANa
2463,g__Caloranaerobacter,FNa
2464,g__Calorimonas,FH ANa
2465,g__Calothrix,FH
2466,g__Calothrix_A,FH
2467,g__Camelimonas,FH
2468,g__Caminibacter,FH
2469,g__Caminicella,FNa
2470,g__Campylobacter,FH
2471,g__Campylobacter_A,FH
2472,g__Campylobacter_B,FH
2473,g__Campylobacter_D,FH
2474,g__Campylobacter_E,FH
2475,g__Candidimonas,FH
2476,g__Candidimonas_A,FH
2477,g__Canibacter,FH
2478,g__Capnocytophaga,FH
2479,g__Caprobacter,AH ANa
2480,g__Caproiciproducens,AH ANa
2481,g__Capsulimonas,FH NH
2482,g__Carbobacillus,FH
2483,g__Carboxydocella,FH
2484,g__Carboxydothermus,FH
2485,g__Carboxylicivirga,FH ANa
2486,g__Cardinium,FH
2487,g__Cardiobacterium,FH
2488,g__Carnimonas,FH
2489,g__Carnobacterium,FH
2490,g__Carnobacterium_A,FH ANa
2491,g__Caryophanon,FH
2492,g__Casimicrobium,FH
2493,g__Casp-Chloro-G3,FH
2494,g__Casp-Chloro-G4,FH
2495,g__Casp-actino5,FH
2496,g__Casp-actino8,FH
2497,g__Casp-alpha2,FH
2498,g__Castellaniella,FH
2499,g__Catalinimonas,FH
2500,g__Catellatospora,FH
2501,g__Catellicoccus,FH
2502,g__Catelliglobosispora,FH
2503,g__Catenibacillus,FNa
2504,g__Catenibacterium,FH AH
2505,g__Catenisphaera,FH FNa
2506,g__Catenovulum,FH
2507,g__Catenulispora,FH
2508,g__Catenuloplanes,FH
2509,g__Catonella,FH ANa
2510,g__Caulobacter,FH
2511,g__Caviibacter,FH ANa
2512,g__Caviibacterium,FH
2513,g__Cecembia,FH
2514,g__Cedecea,FH
2515,g__Celeribacter,FH NNa
2516,g__Celerinatantimonas,FH
2517,g__Cellulomonas,FH
2518,g__Cellulophaga,FH
2519,g__Cellulosilyticum,FNa AH
2520,g__Cellulosimicrobium,FH
2521,g__Cellvibrio,FH
2522,g__Cenarchaeum,AH
2523,g__Centipeda,FH
2524,g__Cephaloticoccus,FH
2525,g__Cerasibacillus,FH
2526,g__Cerasicoccus,FH
2527,g__Cereibacter,FH NNa
2528,g__Cereibacter_A,FH
2529,g__Cesiribacter,FH
2530,g__Cetia,FH
2531,g__Cetobacterium,FNa
2532,g__Cetobacterium_A,FNa
2533,g__Cfx2-01,FH
2534,g__Cfx3-02,FH
2535,g__Cfx3-03,FH
2536,g__Ch10,FH
2537,g__Ch104c,nothing
2538,g__Ch109,FH
2539,g__Ch115,FH FNa ANa
2540,g__Ch128a,FH
2541,g__Ch128b,FH
2542,g__Ch130,FH
2543,g__Ch132,FH
2544,g__Ch27,FH AH
2545,g__Ch29,FNa ANa
2546,g__Ch38,FNa ANa
2547,g__Ch48,ANa
2548,g__Ch61,FH
2549,g__Ch66,FH
2550,g__Ch67,FH NH
2551,g__Ch71,FH NNa
2552,g__Chachezhania,FH
2553,g__Chakrabartia,FH
2554,g__Chamaesiphon,FH
2555,g__Changchengzhania,FH
2556,g__Chania,FH
2557,g__Chazhemtobacterium,nothing
2558,g__Chelativorans,FH
2559,g__Chelatococcus,FH NH
2560,g__Chelatococcus_A,FH
2561,g__Chelonobacter,FH
2562,g__Chengkuizengella,FH
2563,g__Chiayiivirga,FH
2564,g__Chimaeribacter,FH
2565,g__Chishuiella,FH
2566,g__Chitinibacter,FH
2567,g__Chitinilyticum,FH
2568,g__Chitinimonas,FH
2569,g__Chitiniphilus,FH
2570,g__Chitinispirillum,ANa
2571,g__Chitinivibrio,ANa
2572,g__Chitinivorax,FH
2573,g__Chitinolyticbacter,FH
2574,g__Chitinophaga,FH
2575,g__Chlamydia,ANa
2576,g__Chlamydophila,ANa
2577,g__Chloracidobacterium,FH
2578,g__Chlorobaculum,FH
2579,g__Chlorobium,FH
2580,g__Chlorobium_A,FH
2581,g__Chloroflexus,FH
2582,g__Chlorogloeopsis,FH
2583,g__Chloroherpeton,FH
2584,g__Chloroploca,FH
2585,g__ChocPot-Mid,FH
2586,g__Chondromyces,FH
2587,g__Christensenella,FH
2588,g__Chromatium,FH AH NNa
2589,g__Chromatocurvus,FH
2590,g__Chromobacterium,FH
2591,g__Chromohalobacter,FH
2592,g__Chromulinavorax,FNa
2593,g__Chroococcidiopsis,FH
2594,g__Chroogloeocystis,FH
2595,g__Chryseobacterium,FH
2596,g__Chryseoglobus,FH
2597,g__Chryseolinea,FH
2598,g__Chryseolinea_A,FH
2599,g__Chryseomicrobium,FH
2600,g__Chryseotalea,FH
2601,g__Chrysiogenes,FH
2602,g__Chth-196,FH
2603,g__Chthoniobacter,FH
2604,g__Chthonobacter,FH
2605,g__Chthonomonas,FH
2606,g__Citreimonas,FH
2607,g__Citricoccus,FH
2608,g__Citrobacter,FH
2609,g__Citrobacter_A,FH
2610,g__Citrobacter_B,FH
2611,g__Citrobacter_C,FH
2612,g__Clavibacter,FH
2613,g__Cloacibacillus,AH ANa
2614,g__Cloacibacterium,FH
2615,g__Cloacimonas,ANa
2616,g__Cloacimonetes-1,ANa
2617,g__Cloacimonetes-2,ANa
2618,g__Clostridiisalibacter,FNa
2619,g__Clostridioides,FNa ANa
2620,g__Clostridioides_A,FNa
2621,g__Clostridium,FH ANa
2622,g__Clostridium_A,AH
2623,g__Clostridium_AA,AH ANa
2624,g__Clostridium_AB,FH
2625,g__Clostridium_AC,FH ANa
2626,g__Clostridium_AD,FH AH ANa
2627,g__Clostridium_AE,FH
2628,g__Clostridium_AF,FH ANa
2629,g__Clostridium_AG,FH
2630,g__Clostridium_AH,FH AH ANa
2631,g__Clostridium_AI,FH FNa AH
2632,g__Clostridium_AK,AH ANa
2633,g__Clostridium_AM,FH
2634,g__Clostridium_AN,FH ANa
2635,g__Clostridium_AO,FH AH ANa
2636,g__Clostridium_AP,FH AH ANa
2637,g__Clostridium_AQ,FNa AH
2638,g__Clostridium_B,FH
2639,g__Clostridium_C,FH ANa
2640,g__Clostridium_D,FH ANa
2641,g__Clostridium_E,AH
2642,g__Clostridium_F,FH ANa
2643,g__Clostridium_G,AH ANa
2644,g__Clostridium_H,FH ANa
2645,g__Clostridium_I,FH
2646,g__Clostridium_J,FH ANa
2647,g__Clostridium_K,FH ANa
2648,g__Clostridium_L,AH ANa
2649,g__Clostridium_N,FH
2650,g__Clostridium_P,FH ANa
2651,g__Clostridium_Q,FH ANa
2652,g__Clostridium_R,FH ANa
2653,g__Clostridium_S,FH
2654,g__Clostridium_T,FH AH ANa
2655,g__Clostridium_V,FNa
2656,g__Clostridium_W,FNa
2657,g__Clostridium_X,FH ANa
2658,g__Clostridium_Y,FNa
2659,g__Clostridium_Z,FH ANa
2660,g__Cnuella,FH
2661,g__Cnuibacter,FH
2662,g__Cobetia,FH
2663,g__Cochleicola,FH
2664,g__Cocleimonas,FH
2665,g__Cognaticolwellia,FH
2666,g__Cognatishimia,FH
2667,g__Cognatiyoonia,FH
2668,g__Cohaesibacter,FH
2669,g__Cohnella,FH
2670,g__Coleofasciculus,q FH
2671,g__Collimonas,FH
2672,g__Collinsella,FH
2673,g__Colwellia,FH
2674,g__Colwellia_A,FH
2675,g__Comamonas,FH
2676,g__Comamonas_C,FH
2677,g__Comamonas_E,FH
2678,g__Commensalibacter,FH
2679,g__Companilactobacillus,FH
2680,g__Competibacter,FH NNa
2681,g__Competibacter_A,FH
2682,g__Compostimonas,FH
2683,g__Conchiformibius,FH
2684,g__Conexibacter,FH
2685,g__Conexibacter_A,FH
2686,g__Conexivisphaera,AH
2687,g__Confluentibacter,FH
2688,g__Congregibacter,FH
2689,g__Conservatibacter,FH
2690,g__Consotaella,FH
2691,g__Contendobacter,FH
2692,g__Contendobacter_A,FH
2693,g__Convivina,FH
2694,g__Conyzicola,FH
2695,g__Coprobacillus,FH AH
2696,g__Coprobacter,FH
2697,g__Coprococcus,FH ANa
2698,g__Coprococcus_A,FH
2699,g__Coprothermobacter,FH ANa
2700,g__Coraliomargarita,FH
2701,g__Corallincola,FH
2702,g__Corallococcus,FH
2703,g__Coriobacterium,FH
2704,g__Corticibacterium,FH
2705,g__Corticimicrobacter,FH
2706,g__Corynebacterium,FH
2707,g__Costertonia,FH
2708,g__Coxiella,FH
2709,g__Crateriforma,FH ANa
2710,g__Crenalkalicoccus,FH
2711,g__Crenobacter,FH
2712,g__Crenothrix,FH
2713,g__Criblamydia,FH ANa
2714,g__Cribrihabitans,FH
2715,g__Cricetibacter,FH
2716,g__Criibacterium,AH ANa
2717,g__Crinalium,FH
2718,g__Croceibacter,FH
2719,g__Croceibacterium,FH
2720,g__Croceicoccus,FH
2721,g__Croceitalea,FH
2722,g__Croceivirga,FH
2723,g__Crocinitomix,FH
2724,g__Crocosphaera,FH NNa
2725,g__Cronobacter,FH
2726,g__Crossiella,FH AH
2727,g__Cruoricaptor,FH
2728,g__Cryobacterium,FH
2729,g__Cryobacterium_B,FH
2730,g__Cryobacterium_C,FH
2731,g__Cryomorpha,FH
2732,g__Cryosericum,ANa
2733,g__Cryoxeromicrobium,q F-
2734,g__Cryptobacterium,FH
2735,g__Cryptosporangium,FH
2736,g__Cucumibacter,FH
2737,g__Cumulibacter,FH
2738,g__Cuneatibacter,FH FNa AH
2739,g__Cuniculiplasma,AH
2740,g__Cupriavidus,FH
2741,g__Curtobacterium,FH
2742,g__Curvibacter,FH
2743,g__Cuspidothrix,FH
2744,g__Cutibacterium,FH
2745,g__Cx-87,FH
2746,g__Cyanobacterium,FH
2747,g__Cyanobium,FH
2748,g__Cyanobium_A,FH
2749,g__Cyanothece,FH
2750,g__Cybelea,FH
2751,g__Cyclobacterium,FH
2752,g__Cycloclasticus,FH
2753,g__Cyclonatronum,FH
2754,g__Cylindrospermum,FH
2755,g__Cypionkella,FH
2756,g__Cysteiniphilum,FH
2757,g__Cystobacter,FH
2758,g__Cytobacillus,FH
2759,g__Cytomitobacter,FH
2760,g__Cytophaga,FH
2761,g__D16-34,FH
2762,g__D16-63,FH
2763,g__D1FN1-002,FH FH AH ANa
2764,g__D2-FULL-39-29,FH
2765,g__D2472,FH
2766,g__D37C17,FH
2767,g__D5,ANa
2768,g__DB1,FH NNa
2769,g__DB6-IX,FH
2770,g__DC0425bin3,FH
2771,g__DDH964,FH NNa
2772,g__DDPF01,q FH
2773,g__DE0126,FH
2774,g__DG-23,FNa
2775,g__DG-27,q FH
2776,g__DG-33,ANa
2777,g__DG-60,FH
2778,g__DG-74-1,q F-
2779,g__DG-74-3,nothing
2780,g__DG-78,ANa
2781,g__DMER64,FH ANa
2782,g__DNF00809,FH
2783,g__DONG20-135,FNa AH
2784,g__DP-1,FH
2785,g__DP-19,FH
2786,g__DP-20,FH
2787,g__DP-23,FH
2788,g__DP-3,FH FH
2789,g__DP-36,FH
2790,g__DP-6,FH
2791,g__DP16D-bin41,FH
2792,g__DQWO01,NNa
2793,g__DRAE01,AH
2794,g__DRBW01,ANa
2795,g__DRBY01,q A-
2796,g__DREG01,q FH
2797,g__DRER01,ANa
2798,g__DRGJ01,FH ANa
2799,g__DRGK01,nothing
2800,g__DRGS01,ANa
2801,g__DRGT01,AH
2802,g__DRGV01,q AH
2803,g__DRHE01,AH
2804,g__DRHN01,AH ANa
2805,g__DRIF01,ANa
2806,g__DRIG01,ANa
2807,g__DRJF01,AH
2808,g__DRJH01,FH
2809,g__DRJJ01,FH
2810,g__DRJW01,FH
2811,g__DRKF01,FH
2812,g__DRKI01,AH
2813,g__DRKO01,FH
2814,g__DRKS01,FH NH
2815,g__DRKV01,q FH
2816,g__DRLC01,FH
2817,g__DRLM01,FH
2818,g__DRLW01,FH
2819,g__DRLX01,FH
2820,g__DRLZ01,FH NH
2821,g__DRME01,AH
2822,g__DRMK01,nothing
2823,g__DRMV01,FH
2824,g__DRNA01,FH
2825,g__DROE01,FH
2826,g__DRPG01,FH
2827,g__DRPN01,FH
2828,g__DRQE01,FH AH
2829,g__DRQF01,FH
2830,g__DRQG01,FH
2831,g__DRQN01,FH
2832,g__DRQR01,FH
2833,g__DRQV01,FH AH
2834,g__DRTC01,FNa
2835,g__DRTT01,q ANa
2836,g__DRUE01,FH
2837,g__DRUK01,nothing
2838,g__DRUP01,nothing
2839,g__DRUS01,FH
2840,g__DRUT01,FH
2841,g__DRVD01,nothing
2842,g__DRVG01,q F-
2843,g__DRVI01,FH
2844,g__DRVL01,AH ANa
2845,g__DRVO01,FH
2846,g__DRVP01,nothing
2847,g__DRVV01,nothing
2848,g__DRWB01,q FH
2849,g__DRWE01,AH
2850,g__DRWF01,FH
2851,g__DRWM01,FH
2852,g__DRWO01,AH ANa
2853,g__DRWP01,FH
2854,g__DRWS01,FH
2855,g__DRWU01,FH
2856,g__DRWY01,FH
2857,g__DRWZ01,FH
2858,g__DRXL01,ANa
2859,g__DRYD01,FH
2860,g__DRYI01,FH
2861,g__DRYM01,ANa
2862,g__DRYS01,q A-
2863,g__DRYY01,AH
2864,g__DRZC01,AH
2865,g__DRZP01,ANa
2866,g__DRZQ01,nothing
2867,g__DSAB01,AH ANa
2868,g__DSAD01,FNa ANa NH
2869,g__DSAL01,ANa
2870,g__DSAP01,AH ANa
2871,g__DSAR01,NNa
2872,g__DSAU01,ANa NNa
2873,g__DSAX01,AH
2874,g__DSBA01,nothing
2875,g__DSBD01,nothing
2876,g__DSBG01,FNa NH
2877,g__DSBK01,ANa
2878,g__DSBN01,ANa
2879,g__DSBP01,FH
2880,g__DSBS01,nothing
2881,g__DSBX01,ANa
2882,g__DSCA01,ANa
2883,g__DSCS01,FNa
2884,g__DSCZ01,NNa
2885,g__DSDE01,FH
2886,g__DSDF01,AH AH ANa
2887,g__DSDH01,FH ANa
2888,g__DSDT01,NH NNa
2889,g__DSDU01,FH ANa
2890,g__DSFO01,AH
2891,g__DSFT01,AH
2892,g__DSGC01,FH
2893,g__DSGV01,FH
2894,g__DSHD01,FH
2895,g__DSHX01,FH
2896,g__DSJA01,FH
2897,g__DSKJ01,FH
2898,g__DSLF01,nothing
2899,g__DSLH01,nothing
2900,g__DSLN01,FH
2901,g__DSM-21351,FH
2902,g__DSM-9736,FH
2903,g__DSM105185,FNa AH
2904,g__DSMQ01,FH
2905,g__DSNA01,FH
2906,g__DSNQ01,FH
2907,g__DSNS01,FH
2908,g__DSNT01,nothing
2909,g__DSNU01,FH
2910,g__DSNW01,FH
2911,g__DSNY01,FH AH
2912,g__DSOI01,FH
2913,g__DSOJ01,FH
2914,g__DSOM01,q FH
2915,g__DSOP01,FH
2916,g__DSOQ01,q FH
2917,g__DSOS01,FH AH
2918,g__DSOT01,FH
2919,g__DSOU01,FH AH
2920,g__DSPA01,nothing
2921,g__DSPE01,FH
2922,g__DSPF01,FH
2923,g__DSPG01,FH
2924,g__DSPI01,FH
2925,g__DSPM01,FH
2926,g__DSPP01,FH
2927,g__DSPQ01,FH
2928,g__DSPV01,FH
2929,g__DSPX01,FH
2930,g__DSQF01,FH
2931,g__DSQI01,FH
2932,g__DSQK01,nothing
2933,g__DSQQ01,FH AH
2934,g__DSQW01,FH
2935,g__DSQY01,FH
2936,g__DSQZ01,nothing
2937,g__DSRJ01,q FH
2938,g__DSRU01,FH NNa
2939,g__DSRV01,FH
2940,g__DSRY01,FH
2941,g__DSSA01,FH
2942,g__DSSB01,FH
2943,g__DSSC01,FH AH
2944,g__DSSF01,FH AH
2945,g__DSSM01,q F-
2946,g__DSSU01,FH
2947,g__DSSY01,FH
2948,g__DSTG01,FH
2949,g__DSTH01,FH
2950,g__DSTM01,FH
2951,g__DSTP01,FH AH
2952,g__DSTR01,AH
2953,g__DSUL01,FH
2954,g__DSUN01,AH ANa
2955,g__DSUT01,ANa
2956,g__DSUX01,FH ANa NNa
2957,g__DSVE01,q F-
2958,g__DSVK01,FH ANa
2959,g__DSVM01,FH
2960,g__DSVO01,FH
2961,g__DSVP01,nothing
2962,g__DSVQ01,FH
2963,g__DSVR01,FH
2964,g__DSVT01,FH
2965,g__DSVV01,AH
2966,g__DSVX01,FH
2967,g__DSVY01,FH
2968,g__DSVZ01,FH
2969,g__DSWA01,FH
2970,g__DSWB01,FH
2971,g__DSWF01,FH AH
2972,g__DSWJ01,FH
2973,g__DSWQ01,ANa
2974,g__DSWT01,AH NNa
2975,g__DSWW01,FH ANa
2976,g__DSWX01,FH
2977,g__DSXF01,FH
2978,g__DSXH01,nothing
2979,g__DSXL01,FH
2980,g__DSXM01,FH ANa
2981,g__DSXP01,FH
2982,g__DSXQ01,FH
2983,g__DSXX01,nothing
2984,g__DSXZ01,FH
2985,g__DSYC01,FH
2986,g__DSYF01,FH
2987,g__DSYL01,FH
2988,g__DSYU01,FH
2989,g__DSYW01,FH
2990,g__DSZD01,nothing
2991,g__DSZF01,AH
2992,g__DSZJ01,ANa
2993,g__DSZL01,FH
2994,g__DSZV01,AH
2995,g__DT-108,FH
2996,g__DT-110,q FH
2997,g__DT-111,FH
2998,g__DT-14,FH
2999,g__DT-32,FH
3000,g__DT-33,FH
3001,g__DT-34,FH
3002,g__DT-35,FH
3003,g__DT-38,FH
3004,g__DT-50,FH
3005,g__DT-59,F-
3006,g__DT-68,FH
3007,g__DT-91,FH
3008,g__DTBI01,AH
3009,g__DTBJ01,ANa
3010,g__DTBP01,ANa
3011,g__DTBS01,nothing
3012,g__DTBU01,AH
3013,g__DTCF01,q A-
3014,g__DTCV01,ANa
3015,g__DTDI01,AH
3016,g__DTDM01,q AH
3017,g__DTDR01,q ANa
3018,g__DTDX01,AH
3019,g__DTEH01,ANa
3020,g__DTER01,FNa
3021,g__DTEX01,nothing
3022,g__DTFT01,q A-
3023,g__DTFU01,ANa
3024,g__DTFW01,AH
3025,g__DTFZ01,FH
3026,g__DTGC01,q ANa
3027,g__DTGE01,AH
3028,g__DTGH01,nothing
3029,g__DTGI01,AH
3030,g__DTGL01,ANa
3031,g__DTGN01,FH
3032,g__DTGP01,FH
3033,g__DTGQ01,FH FH AH ANa
3034,g__DTGS01,FH ANa
3035,g__DTGT01,FH
3036,g__DTGW01,FH
3037,g__DTGX01,FH
3038,g__DTGY01,q A-
3039,g__DTHB01,FH
3040,g__DTHC01,FH
3041,g__DTHG01,q AH
3042,g__DTHL01,FH
3043,g__DTHP01,ANa
3044,g__DTHQ01,FH ANa
3045,g__DTHR01,nothing
3046,g__DTHT01,FH
3047,g__DTIE01,q F-
3048,g__DTIG01,q F-
3049,g__DTIH01,AH
3050,g__DTIL01,nothing
3051,g__DTIM01,nothing
3052,g__DTIP01,nothing
3053,g__DTIR01,nothing
3054,g__DTIS01,q F-
3055,g__DTIW01,q F-
3056,g__DTIX01,FH
3057,g__DTIZ01,FH
3058,g__DTJC01,FH
3059,g__DTJD01,FH
3060,g__DTJE01,FH
3061,g__DTJF01,FH
3062,g__DTJG01,AH
3063,g__DTJL01,AH
3064,g__DTJQ01,FH
3065,g__DTJR01,nothing
3066,g__DTJS01,nothing
3067,g__DTJT01,q F-
3068,g__DTJU01,FH
3069,g__DTJV01,FH
3070,g__DTJY01,FH
3071,g__DTKB01,q FH
3072,g__DTKC01,FH
3073,g__DTKD01,FH
3074,g__DTKF01,ANa
3075,g__DTKH01,AH
3076,g__DTKJ01,FH
3077,g__DTKN01,FH
3078,g__DTKO01,FH
3079,g__DTKT01,nothing
3080,g__DTKV01,FH
3081,g__DTKX01,AH
3082,g__DTKY01,FH
3083,g__DTKZ01,AH ANa
3084,g__DTLA01,FH
3085,g__DTLC01,FH
3086,g__DTLD01,FH
3087,g__DTLF01,ANa
3088,g__DTLH01,FH
3089,g__DTLI01,ANa
3090,g__DTLJ01,FH
3091,g__DTLK01,FH NH
3092,g__DTLL01,ANa
3093,g__DTLM01,FH ANa
3094,g__DTME01,FH
3095,g__DTMN01,AH
3096,g__DTMQ01,ANa
3097,g__DTMR01,FH
3098,g__DTMT01,AH AH
3099,g__DTMW01,AH
3100,g__DTMZ01,ANa
3101,g__DTNB01,FH ANa
3102,g__DTNL01,AH
3103,g__DTNO01,FH
3104,g__DTNP01,FH
3105,g__DTNQ01,FH
3106,g__DTNT01,AH
3107,g__DTNV01,nothing
3108,g__DTOL01,q FH
3109,g__DTON01,FH
3110,g__DTOO01,FH
3111,g__DTOP01,FH
3112,g__DTOV01,FH AH ANa
3113,g__DTOW01,q AH
3114,g__DTOY01,AH
3115,g__DTOZ01,FH ANa
3116,g__DTPE01,FNa AH
3117,g__DTPJ01,AH ANa
3118,g__DTPO01,FH
3119,g__DTPP01,FH
3120,g__DTPS01,FH
3121,g__DTPU01,FH ANa
3122,g__DTQF01,nothing
3123,g__DTQG01,ANa
3124,g__DTQI01,FH
3125,g__DTQO01,q AH
3126,g__DTRM01,FH
3127,g__DTRS01,FH
3128,g__DTSJ01,nothing
3129,g__DTSX01,nothing
3130,g__DTSZ01,FH
3131,g__DTU008,AH
3132,g__DTU010,FH
3133,g__DTU012,FNa ANa
3134,g__DTU013,ANa
3135,g__DTU014,ANa
3136,g__DTU015,ANa
3137,g__DTU018,FH
3138,g__DTU019,FH
3139,g__DTU022,FH
3140,g__DTU024,ANa
3141,g__DTU025,ANa
3142,g__DTU027,ANa
3143,g__DTU029,FNa
3144,g__DTU030,nothing
3145,g__DTU032,ANa
3146,g__DTU033,AH ANa
3147,g__DTU036,q ANa
3148,g__DTU049,FH
3149,g__DTU052,FH
3150,g__DTU053,FNa
3151,g__DTU056,FNa
3152,g__DTU059,AH ANa
3153,g__DTU063,ANa
3154,g__DTU064,nothing
3155,g__DTU065,ANa
3156,g__DTU067,ANa
3157,g__DTU068,FH
3158,g__DTU069,ANa
3159,g__DTU072,FH ANa
3160,g__DTU073,FH
3161,g__DTU074,ANa
3162,g__DTU078,ANa
3163,g__DTU080,FH ANa
3164,g__DTU083,ANa
3165,g__DTU084,FH ANa
3166,g__DTU086,FH
3167,g__DTU087,FNa FNa
3168,g__DTU089,ANa
3169,g__DTU098,FH
3170,g__DTVJ01,FH
3171,g__DTWD01,FH
3172,g__DTXE01,FH
3173,g__DTYH01,FH
3174,g__DTYK01,ANa
3175,g__DTYO01,FH
3176,g__DTZC01,FH
3177,g__DTZQ01,q F-
3178,g__DUAG01,FH
3179,g__DUAL01,FH
3180,g__DUBZ01,FH
3181,g__DUCF01,FH
3182,g__DUCM01,FH
3183,g__DUEB01,q A-
3184,g__DUEF01,FH
3185,g__DUEH01,FH
3186,g__DUEL01,FH
3187,g__DUEN01,FH
3188,g__DUEP01,FH
3189,g__DUES01,FH
3190,g__DUEZ01,FH
3191,g__DULF01,AH ANa
3192,g__DULI01,AH ANa
3193,g__DULK01,FH
3194,g__DULL01,AH ANa
3195,g__DULO01,ANa
3196,g__DULU01,FH
3197,g__DULV01,ANa
3198,g__DULZ01,FH
3199,g__DUMB01,FH ANa
3200,g__DUMC01,ANa
3201,g__DUMD01,ANa
3202,g__DUMF01,ANa
3203,g__DUMJ01,FH ANa
3204,g__DUML01,FH
3205,g__DUMO01,FH ANa
3206,g__DUMP01,FH ANa
3207,g__DUMS01,FNa
3208,g__DUMU01,FH
3209,g__DUMW01,FNa
3210,g__DUNF01,ANa
3211,g__DUNI01,ANa
3212,g__DUNJ01,ANa
3213,g__DUNV01,FH ANa
3214,g__DUNY01,FNa ANa
3215,g__DUOA01,ANa
3216,g__DUOC01,ANa
3217,g__DUOD01,AH ANa
3218,g__DUOF01,nothing
3219,g__DUOG01,ANa
3220,g__DUOH01,FNa ANa
3221,g__DUOJ01,AH ANa
3222,g__DUOL01,FH
3223,g__DUOS01,AH ANa
3224,g__DUOT01,ANa
3225,g__DUOU01,FH ANa
3226,g__DUOV01,ANa
3227,g__DUOX01,FNa ANa
3228,g__DUOZ01,ANa
3229,g__DUPA01,FH
3230,g__DUPG01,ANa
3231,g__DUPH01,ANa
3232,g__DUPI01,nothing
3233,g__DUPJ01,ANa
3234,g__DUPK01,ANa
3235,g__DUPL01,FNa ANa
3236,g__DUPM01,FH ANa
3237,g__DUPP01,FH
3238,g__DUPQ01,ANa
3239,g__DUPT01,ANa
3240,g__DUPU01,FH
3241,g__DUPX01,AH ANa
3242,g__DUPY01,FNa
3243,g__DUQB01,FH A-
3244,g__DUQP01,FH
3245,g__DUQU01,ANa
3246,g__DUQW01,ANa
3247,g__DUQX01,FH ANa
3248,g__DURK01,ANa
3249,g__DUSB01,q FH
3250,g__DUSC01,FH
3251,g__DUSG01,ANa
3252,g__DUSN01,AH ANa
3253,g__DUSO01,FH FNa ANa
3254,g__DUSP01,ANa
3255,g__DUSS01,ANa
3256,g__DUTQ01,AH
3257,g__DUTS01,FH
3258,g__DUUA01,ANa
3259,g__DUUE01,FH ANa
3260,g__DUUG01,AH
3261,g__DUUI01,FH
3262,g__DUUL01,FH
3263,g__DUUM01,FNa AH
3264,g__DUUS01,q F-
3265,g__DUUT01,AH NH
3266,g__DUUU01,FH
3267,g__DUVF01,FH
3268,g__DUVM01,FNa ANa
3269,g__DUVQ01,FH
3270,g__DUVT01,ANa
3271,g__DUVY01,FH
3272,g__DUWA01,nothing
3273,g__DUZB01,FH
3274,g__DUZI01,FH
3275,g__DUZK01,FH
3276,g__DUZN01,q FNa
3277,g__DUZU01,FH
3278,g__Dactylosporangium,FH AH
3279,g__Daejeonella,FH
3280,g__Dasania,FH
3281,g__Deefgea,FH
3282,g__Deferribacter,FH
3283,g__Deferrimonas,FH AH
3284,g__Deferrisoma,FNa
3285,g__Defluviicoccus,FH
3286,g__Defluviitalea,FNa
3287,g__Defluviitalea_A,AH
3288,g__Defluviitoga,FNa
3289,g__Dehalobacter,FH
